,state,state_po,district,county_fips,party_simplified,votes,totalVotes,votePercentage
507,CALIFORNIA,CA,21,6107.0,REPUBLICAN,2789,5587,0.4991945587972078
508,CALIFORNIA,CA,22,6019.0,DEMOCRAT,95231,203571,0.4678023883559053
509,CALIFORNIA,CA,22,6019.0,REPUBLICAN,108340,203571,0.5321976116440947
510,CALIFORNIA,CA,22,6107.0,DEMOCRAT,49020,111568,0.4393732970027248
511,CALIFORNIA,CA,22,6107.0,REPUBLICAN,62548,111568,0.5606267029972752
512,CALIFORNIA,CA,23,6029.0,DEMOCRAT,86586,240804,0.359570439029252
513,CALIFORNIA,CA,23,6029.0,REPUBLICAN,154218,240804,0.640429560970748
514,CALIFORNIA,CA,23,6037.0,DEMOCRAT,17381,36301,0.47880223685297923
515,CALIFORNIA,CA,23,6037.0,REPUBLICAN,18920,36301,0.5211977631470207
516,CALIFORNIA,CA,23,6107.0,DEMOCRAT,11929,29013,0.41116051425223177
517,CALIFORNIA,CA,23,6107.0,REPUBLICAN,17084,29013,0.5888394857477682
518,CALIFORNIA,CA,24,6079.0,DEMOCRAT,84608,157780,0.536240334643174
519,CALIFORNIA,CA,24,6079.0,REPUBLICAN,73172,157780,0.46375966535682595
520,CALIFORNIA,CA,24,6083.0,DEMOCRAT,124584,199365,0.6249040704235949
521,CALIFORNIA,CA,24,6083.0,REPUBLICAN,74781,199365,0.3750959295764051
522,CALIFORNIA,CA,24,6111.0,DEMOCRAT,3372,5200,0.6484615384615384
523,CALIFORNIA,CA,24,6111.0,REPUBLICAN,1828,5200,0.3515384615384615
524,CALIFORNIA,CA,25,6037.0,DEMOCRAT,138441,271507,0.5098984556567603
525,CALIFORNIA,CA,25,6037.0,REPUBLICAN,133066,271507,0.49010154434323977
526,CALIFORNIA,CA,25,6111.0,DEMOCRAT,30864,67436,0.45767839136366334
