,state,state_po,party_simplified,votes,county_fips,jurisdiction_fips,year,special,writein,state_fips,state_cen,state_ic,readme_check,magnitude,totalVotes,totalStateVotes,votePercentage
135,TEXAS,TX,LIBERTARIAN,222306,396800145.0,396800145.0,16618540,0,0,394896,608798,403123,366,8227,9974913,11089330,0.02004683781617104
136,TEXAS,TX,OTHER,46400,138541512.0,138541512.0,5805480,0,0,137952,212676,140826,0,2874,2583892,11089330,0.004184202291752523
137,TEXAS,TX,REPUBLICAN,5925334,443737481.0,443737481.0,18586020,0,0,441648,680874,450849,669,9201,11089330,11089330,0.5343275022025676
138,UTAH,UT,DEMOCRAT,505946,421290296.0,421290296.0,17355840,0,0,421008,747504,575664,0,8592,1431857,1431857,0.3533495314127039
139,UTAH,UT,LIBERTARIAN,28518,196087325.0,196087325.0,8077980,0,0,195951,347913,267933,0,3999,730948,1431857,0.019916793366935387
140,UTAH,UT,OTHER,24047,391226014.0,391226014.0,16115560,0,2373,390922,694086,534526,0,7978,735452,1431857,0.016794274847278745
141,UTAH,UT,REPUBLICAN,873346,421290296.0,421290296.0,17355840,0,0,421008,747504,575664,0,8592,1431857,1431857,0.6099394003730819
142,VERMONT,VT,DEMOCRAT,238827,13754047.0,1375416836245.0,555500,0,0,13750,3575,1650,0,275,354295,354295,0.674090800039515
143,VERMONT,VT,OTHER,19638,68770235.0,6877084181225.0,2777500,0,0,68750,17875,8250,0,1375,354295,354295,0.05542838594956181
144,VERMONT,VT,REPUBLICAN,95830,13754047.0,1375416836245.0,555500,0,0,13750,3575,1650,0,275,354295,354295,0.2704808140109231
145,VIRGINIA,VA,DEMOCRAT,2253974,122154439.0,122154439.0,4813660,0,0,121533,128682,95320,0,2383,4038928,4310779,0.5228693004211071
146,VIRGINIA,VA,OTHER,9170,9960180.0,9960180.0,389860,0,0,9843,10422,7720,0,193,359934,4310779,0.0021272257288067887
147,VIRGINIA,VA,REPUBLICAN,2047635,142217921.0,142217921.0,5605500,0,0,141525,149850,111000,0,2775,4310779,4310779,0.475003473850086
148,WASHINGTON,WA,DEMOCRAT,2340356,283538149.0,283538149.0,10796900,0,0,283285,486395,390185,0,5345,3885792,3885792,0.6022854542909142
149,WASHINGTON,WA,REPUBLICAN,1545436,225490811.0,225490811.0,8587020,0,0,225303,386841,310323,0,4251,3596815,3885792,0.3977145457090858
150,WEST VIRGINIA,WV,DEMOCRAT,246903,92213778.0,92213778.0,3446120,0,0,92124,93830,95536,0,1706,761171,761171,0.32437257856644564
151,WEST VIRGINIA,WV,REPUBLICAN,514268,92213778.0,92213778.0,3446120,0,0,92124,93830,95536,0,1706,761171,761171,0.6756274214335544
152,WISCONSIN,WI,DEMOCRAT,1566671,203660820.0,20366252286460.0,7469960,0,0,203390,129430,92450,5,3698,3235981,3235981,0.48414097610585477
153,WISCONSIN,WI,OTHER,7911,20158968.0,2015916016975.0,739320,0,0,20130,12810,9150,0,366,311348,3235981,0.0024446991499641065
154,WISCONSIN,WI,REPUBLICAN,1661399,203660820.0,20366252286460.0,7469960,0,0,203390,129430,92450,5,3698,3235981,3235981,0.5134143247441811
155,WYOMING,WY,DEMOCRAT,66576,26890366.0,26890366.0,969600,0,0,26880,39840,32640,0,480,270367,270367,0.24624306960538822
156,WYOMING,WY,LIBERTARIAN,10154,26890366.0,26890366.0,969600,0,0,26880,39840,32640,0,480,270367,270367,0.03755635857926448
157,WYOMING,WY,OTHER,7905,26890366.0,26890366.0,969600,0,0,26880,39840,32640,0,480,270367,270367,0.02923803570702046
158,WYOMING,WY,REPUBLICAN,185732,26890366.0,26890366.0,969600,0,0,26880,39840,32640,0,480,270367,270367,0.6869625361083268
