,state,state_po,district,county_fips,party_simplified,votes
320,ARKANSAS,AR,4,5083.0,REPUBLICAN,6472
321,ARKANSAS,AR,4,5087.0,DEMOCRAT,1521
322,ARKANSAS,AR,4,5087.0,LIBERTARIAN,252
323,ARKANSAS,AR,4,5087.0,REPUBLICAN,5496
324,ARKANSAS,AR,4,5091.0,DEMOCRAT,4105
325,ARKANSAS,AR,4,5091.0,LIBERTARIAN,382
326,ARKANSAS,AR,4,5091.0,REPUBLICAN,11870
327,ARKANSAS,AR,4,5097.0,DEMOCRAT,635
328,ARKANSAS,AR,4,5097.0,LIBERTARIAN,87
329,ARKANSAS,AR,4,5097.0,REPUBLICAN,3103
330,ARKANSAS,AR,4,5099.0,DEMOCRAT,1068
331,ARKANSAS,AR,4,5099.0,LIBERTARIAN,78
332,ARKANSAS,AR,4,5099.0,REPUBLICAN,2178
333,ARKANSAS,AR,4,5101.0,DEMOCRAT,461
334,ARKANSAS,AR,4,5101.0,LIBERTARIAN,65
335,ARKANSAS,AR,4,5101.0,REPUBLICAN,1551
336,ARKANSAS,AR,4,5103.0,DEMOCRAT,3854
337,ARKANSAS,AR,4,5103.0,LIBERTARIAN,199
338,ARKANSAS,AR,4,5103.0,REPUBLICAN,5443
339,ARKANSAS,AR,4,5109.0,DEMOCRAT,574
340,ARKANSAS,AR,4,5109.0,LIBERTARIAN,91
341,ARKANSAS,AR,4,5109.0,REPUBLICAN,3530
342,ARKANSAS,AR,4,5113.0,DEMOCRAT,1089
343,ARKANSAS,AR,4,5113.0,LIBERTARIAN,298
344,ARKANSAS,AR,4,5113.0,REPUBLICAN,7019
345,ARKANSAS,AR,4,5127.0,DEMOCRAT,449
346,ARKANSAS,AR,4,5127.0,LIBERTARIAN,91
347,ARKANSAS,AR,4,5127.0,REPUBLICAN,2977
348,ARKANSAS,AR,4,5131.0,DEMOCRAT,700
349,ARKANSAS,AR,4,5131.0,LIBERTARIAN,181
350,ARKANSAS,AR,4,5131.0,REPUBLICAN,4756
351,ARKANSAS,AR,4,5133.0,DEMOCRAT,1011
352,ARKANSAS,AR,4,5133.0,LIBERTARIAN,141
353,ARKANSAS,AR,4,5133.0,REPUBLICAN,3970
354,ARKANSAS,AR,4,5139.0,DEMOCRAT,5214
355,ARKANSAS,AR,4,5139.0,LIBERTARIAN,426
356,ARKANSAS,AR,4,5139.0,REPUBLICAN,10693
357,ARKANSAS,AR,4,5149.0,DEMOCRAT,1206
358,ARKANSAS,AR,4,5149.0,LIBERTARIAN,211
359,ARKANSAS,AR,4,5149.0,REPUBLICAN,5228
360,CALIFORNIA,CA,1,6007.0,DEMOCRAT,52112
361,CALIFORNIA,CA,1,6007.0,REPUBLICAN,49929
362,CALIFORNIA,CA,1,6021.0,DEMOCRAT,220
363,CALIFORNIA,CA,1,6021.0,REPUBLICAN,811
364,CALIFORNIA,CA,1,6035.0,DEMOCRAT,3000
365,CALIFORNIA,CA,1,6035.0,REPUBLICAN,8892
366,CALIFORNIA,CA,1,6049.0,DEMOCRAT,1290
367,CALIFORNIA,CA,1,6049.0,REPUBLICAN,3025
368,CALIFORNIA,CA,1,6057.0,DEMOCRAT,29658
369,CALIFORNIA,CA,1,6057.0,REPUBLICAN,24914
370,CALIFORNIA,CA,1,6061.0,DEMOCRAT,11092
371,CALIFORNIA,CA,1,6061.0,REPUBLICAN,16830
372,CALIFORNIA,CA,1,6063.0,DEMOCRAT,4737
373,CALIFORNIA,CA,1,6063.0,REPUBLICAN,6541
374,CALIFORNIA,CA,1,6089.0,DEMOCRAT,31851
375,CALIFORNIA,CA,1,6089.0,REPUBLICAN,59983
376,CALIFORNIA,CA,1,6091.0,DEMOCRAT,801
377,CALIFORNIA,CA,1,6091.0,REPUBLICAN,1129
378,CALIFORNIA,CA,1,6093.0,DEMOCRAT,10198
379,CALIFORNIA,CA,1,6093.0,REPUBLICAN,13155
380,CALIFORNIA,CA,1,6103.0,DEMOCRAT,9507
381,CALIFORNIA,CA,1,6103.0,REPUBLICAN,19082
382,CALIFORNIA,CA,2,6015.0,DEMOCRAT,5103
383,CALIFORNIA,CA,2,6015.0,REPUBLICAN,6089
384,CALIFORNIA,CA,2,6023.0,DEMOCRAT,46089
385,CALIFORNIA,CA,2,6023.0,REPUBLICAN,20656
386,CALIFORNIA,CA,2,6041.0,DEMOCRAT,124729
387,CALIFORNIA,CA,2,6041.0,REPUBLICAN,25363
388,CALIFORNIA,CA,2,6045.0,DEMOCRAT,29925
389,CALIFORNIA,CA,2,6045.0,REPUBLICAN,12806
390,CALIFORNIA,CA,2,6097.0,DEMOCRAT,85568
391,CALIFORNIA,CA,2,6097.0,REPUBLICAN,26296
392,CALIFORNIA,CA,2,6105.0,DEMOCRAT,3021
393,CALIFORNIA,CA,2,6105.0,REPUBLICAN,3110
394,CALIFORNIA,CA,3,6011.0,DEMOCRAT,3348
395,CALIFORNIA,CA,3,6011.0,REPUBLICAN,4328
396,CALIFORNIA,CA,3,6021.0,DEMOCRAT,3784
397,CALIFORNIA,CA,3,6021.0,REPUBLICAN,6315
398,CALIFORNIA,CA,3,6033.0,DEMOCRAT,6659
399,CALIFORNIA,CA,3,6033.0,REPUBLICAN,5999
400,CALIFORNIA,CA,3,6067.0,DEMOCRAT,6708
401,CALIFORNIA,CA,3,6067.0,REPUBLICAN,8821
402,CALIFORNIA,CA,3,6095.0,DEMOCRAT,74688
403,CALIFORNIA,CA,3,6095.0,REPUBLICAN,57659
404,CALIFORNIA,CA,3,6101.0,DEMOCRAT,18333
405,CALIFORNIA,CA,3,6101.0,REPUBLICAN,23551
406,CALIFORNIA,CA,3,6113.0,DEMOCRAT,51025
407,CALIFORNIA,CA,3,6113.0,REPUBLICAN,21512
408,CALIFORNIA,CA,3,6115.0,DEMOCRAT,11498
409,CALIFORNIA,CA,3,6115.0,REPUBLICAN,17760
410,CALIFORNIA,CA,4,6003.0,DEMOCRAT,473
411,CALIFORNIA,CA,4,6003.0,REPUBLICAN,264
412,CALIFORNIA,CA,4,6005.0,DEMOCRAT,8259
413,CALIFORNIA,CA,4,6005.0,REPUBLICAN,13833
414,CALIFORNIA,CA,4,6009.0,DEMOCRAT,10333
415,CALIFORNIA,CA,4,6009.0,REPUBLICAN,16563
416,CALIFORNIA,CA,4,6017.0,DEMOCRAT,51597
417,CALIFORNIA,CA,4,6017.0,REPUBLICAN,63710
418,CALIFORNIA,CA,4,6019.0,DEMOCRAT,2048
419,CALIFORNIA,CA,4,6019.0,REPUBLICAN,6533
420,CALIFORNIA,CA,4,6039.0,DEMOCRAT,5428
421,CALIFORNIA,CA,4,6039.0,REPUBLICAN,10692
422,CALIFORNIA,CA,4,6043.0,DEMOCRAT,4195
423,CALIFORNIA,CA,4,6043.0,REPUBLICAN,5906
424,CALIFORNIA,CA,4,6057.0,DEMOCRAT,7508
425,CALIFORNIA,CA,4,6057.0,REPUBLICAN,2495
426,CALIFORNIA,CA,4,6061.0,DEMOCRAT,92678
427,CALIFORNIA,CA,4,6061.0,REPUBLICAN,109379
428,CALIFORNIA,CA,4,6109.0,DEMOCRAT,12212
429,CALIFORNIA,CA,4,6109.0,REPUBLICAN,17916
430,CALIFORNIA,CA,5,6013.0,DEMOCRAT,37068
431,CALIFORNIA,CA,5,6013.0,REPUBLICAN,10966
432,CALIFORNIA,CA,5,6033.0,DEMOCRAT,9260
433,CALIFORNIA,CA,5,6033.0,REPUBLICAN,6398
434,CALIFORNIA,CA,5,6055.0,DEMOCRAT,52204
435,CALIFORNIA,CA,5,6055.0,REPUBLICAN,18472
436,CALIFORNIA,CA,5,6095.0,DEMOCRAT,55271
