cumulative_percentage,,-0.05 | 0.05,-0.1 | -0.05,-0.2 | -0.1,-0.3 | -0.2,-0.5 | -0.3,-0.75 | -0.5,-1 | -0.75,0.05 | 0.1,0.1 | 0.2,0.2 | 0.3,0.3 | 0.5,0.5 | 0.75,0.75 | 1
0.1353503184713375,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1356033444470651,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.1362602763687248,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1370338248048569,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1372720961671964,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1375148698164341,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1377115947562683,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1377747618932215,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1385004462957453,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1387901646478566,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.1400959744068248,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1401249250642996,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1401600656679663,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1407333994053518,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1407911677042733,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.142148662743786,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1424242424242424,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1424361493123772,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1428210986669657,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.1434443596914992,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1437261171332761,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1437751004016064,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1458472500556669,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.1458699706901145,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1460168818455514,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1461072013455495,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.14614905542869,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.146505376344086,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1466227347611202,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.146884789418726,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.147103166056429,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1479153852325301,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1482677682846681,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1490445622154213,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.1494048137887648,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1494779830952235,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1494908350305498,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.149879487504757,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.150101631312868,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1503096712720343,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.15032080659945,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1503216281767373,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.1505216095380029,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1508281404707722,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.150887573964497,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1511026568444406,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.1511278195488722,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1511550273734811,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1512071156289707,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1514866467629136,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1515694383564254,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1517754791927701,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1519356075124568,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1522603079980129,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.152317880794702,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1525675145063479,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.1526596904294746,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.152959321380374,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.1530339805825242,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1531835755885087,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1533409480296973,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.153466324313648,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1537757817697937,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.1538594191901773,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1540245754521607,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1546906767354051,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1551885045552181,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1552146448369215,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1558157613448644,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.1558403336507006,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.1560511937729211,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1564675384216044,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1565385913017551,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.1566387695091608,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1568825910931174,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.157383983743209,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.157657155595185,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1578868490071187,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1580446005641599,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1581342434584755,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1583202174846187,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.158363007796684,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1587328816079137,0,0,0,0,0,0,0,0,0,0,0,1,0,0
