state,state_po,district,party_simplified,votes,county_fips,jurisdiction_fips,year,special,writein,state_fips,state_cen,state_ic,readme_check,magnitude
COLORADO,CO,6,LIBERTARIAN,9083,3787669.0,3787669.0,955460,0,0,3784,39732,29326,0,473
COLORADO,CO,6,OTHER,3884,3787669.0,3787669.0,955460,0,0,3784,39732,29326,0,473
COLORADO,CO,6,REPUBLICAN,175192,3787669.0,3787669.0,955460,0,0,3784,39732,29326,0,473
COLORADO,CO,7,DEMOCRAT,250558,6362776.0,6362776.0,1599840,0,396,6336,66528,49104,0,792
COLORADO,CO,7,LIBERTARIAN,11510,3181388.0,3181388.0,799920,0,0,3168,33264,24552,0,396
COLORADO,CO,7,OTHER,2355,3181388.0,3181388.0,799920,0,0,3168,33264,24552,0,396
COLORADO,CO,7,REPUBLICAN,159301,3181388.0,3181388.0,799920,0,0,3168,33264,24552,0,396
CONNECTICUT,CT,1,DEMOCRAT,213001,2466898.0,246702913980.0,553480,0,0,2466,4384,274,0,274
CONNECTICUT,CT,1,OTHER,14125,4915790.0,491605153820.0,1102920,0,0,4914,8736,546,0,546
CONNECTICUT,CT,1,REPUBLICAN,122111,2466898.0,246702913980.0,553480,0,0,2466,4384,274,0,274
CONNECTICUT,CT,2,DEMOCRAT,207171,2469050.0,246918352300.0,553480,0,0,2466,4384,274,112,274
CONNECTICUT,CT,2,LIBERTARIAN,3901,2451036.0,245116881840.0,549440,0,0,2448,4352,272,112,272
CONNECTICUT,CT,2,OTHER,15760,4938100.0,493836704600.0,1106960,0,0,4932,8768,548,224,548
CONNECTICUT,CT,2,REPUBLICAN,140340,2469050.0,246918352300.0,553480,0,0,2466,4384,274,112,274
CONNECTICUT,CT,3,DEMOCRAT,194259,3242856.0,324303667390.0,727200,0,0,3240,5760,360,328,360
CONNECTICUT,CT,3,OTHER,20276,9584456.0,958499146690.0,2149280,0,0,9576,17024,1064,968,1064
CONNECTICUT,CT,3,REPUBLICAN,131566,3242856.0,324303667390.0,727200,0,0,3240,5760,360,328,360
CONNECTICUT,CT,4,DEMOCRAT,224432,2376280.0,237640181920.0,533280,0,0,2376,4224,264,264,264
CONNECTICUT,CT,4,OTHER,5647,2358278.0,235839944220.0,529240,0,0,2358,4192,262,262,262
CONNECTICUT,CT,4,REPUBLICAN,130627,2376280.0,237640181920.0,533280,0,0,2376,4224,264,264,264
CONNECTICUT,CT,5,DEMOCRAT,183797,2791482.0,279162547060.0,626200,0,0,2790,4960,310,160,310
CONNECTICUT,CT,5,OTHER,13739,5564946.0,556523133980.0,1248360,0,0,5562,9888,618,318,618
CONNECTICUT,CT,5,REPUBLICAN,151988,2791482.0,279162547060.0,626200,0,0,2790,4960,310,160,310
DELAWARE,DE,0,DEMOCRAT,281382,8722552.0,8722552.0,1761440,0,0,8720,44472,9592,0,872
DELAWARE,DE,0,LIBERTARIAN,3814,8722552.0,8722552.0,1761440,0,0,8720,44472,9592,0,872
DELAWARE,DE,0,OTHER,6682,8722552.0,8722552.0,1761440,0,0,8720,44472,9592,0,872
DELAWARE,DE,0,REPUBLICAN,196392,8722552.0,8722552.0,1761440,0,0,8720,44472,9592,0,872
DISTRICT OF COLUMBIA,DC,0,DEMOCRAT,281831,1584144.0,1584144.0,290880,0,0,1584,7632,7920,0,144
DISTRICT OF COLUMBIA,DC,0,LIBERTARIAN,9678,1584144.0,1584144.0,290880,0,0,1584,7632,7920,0,144
DISTRICT OF COLUMBIA,DC,0,OTHER,32815,9504864.0,9504864.0,1745280,0,0,9504,45792,47520,0,864
FLORIDA,FL,1,DEMOCRAT,149172,2415110.0,2415110.0,404000,0,0,2400,11800,8600,0,200
FLORIDA,FL,1,REPUBLICAN,283352,2415110.0,2415110.0,404000,0,0,2400,11800,8600,0,200
FLORIDA,FL,2,REPUBLICAN,305337,3606789.0,3606789.0,603980,0,0,3588,17641,12857,0,299
FLORIDA,FL,3,DEMOCRAT,167326,2626032.0,2626032.0,440360,0,0,2616,12862,9374,0,218
FLORIDA,FL,3,REPUBLICAN,223075,2626032.0,2626032.0,440360,0,0,2616,12862,9374,0,218
FLORIDA,FL,4,DEMOCRAT,196423,2205975.0,2205975.0,369660,0,0,2196,10797,7869,0,183
FLORIDA,FL,4,REPUBLICAN,308497,2205975.0,2205975.0,369660,0,0,2196,10797,7869,0,183
FLORIDA,FL,5,DEMOCRAT,219463,3289319.0,3289319.0,551460,0,0,3276,16107,11739,0,273
FLORIDA,FL,5,REPUBLICAN,117510,3289319.0,3289319.0,551460,0,0,3276,16107,11739,0,273
FLORIDA,FL,6,DEMOCRAT,172305,2251560.0,2251560.0,375720,0,0,2232,10974,7998,0,186
FLORIDA,FL,6,REPUBLICAN,265393,2251560.0,2251560.0,375720,0,0,2232,10974,7998,0,186
FLORIDA,FL,7,DEMOCRAT,224955,1864632.0,1864632.0,311080,0,0,1848,9086,6622,0,154
FLORIDA,FL,7,REPUBLICAN,175741,1864632.0,1864632.0,311080,0,0,1848,9086,6622,0,154
FLORIDA,FL,8,DEMOCRAT,177695,2548244.0,2548244.0,428240,0,0,2544,12508,9116,0,212
FLORIDA,FL,8,REPUBLICAN,282093,2548244.0,2548244.0,428240,0,0,2544,12508,9116,0,212
FLORIDA,FL,9,DEMOCRAT,240724,2553015.0,2553015.0,426220,0,0,2532,12449,9073,0,211
FLORIDA,FL,9,REPUBLICAN,188889,2553015.0,2553015.0,426220,0,0,2532,12449,9073,0,211
FLORIDA,FL,10,DEMOCRAT,239434,1741680.0,1741680.0,290880,0,0,1728,8496,6192,0,144
FLORIDA,FL,10,REPUBLICAN,136889,1741680.0,1741680.0,290880,0,0,1728,8496,6192,0,144
FLORIDA,FL,11,DEMOCRAT,158094,2377469.0,2377469.0,397940,0,0,2364,11623,8471,0,197
FLORIDA,FL,11,REPUBLICAN,316979,2377469.0,2377469.0,397940,0,0,2364,11623,8471,0,197
FLORIDA,FL,12,DEMOCRAT,168194,2165847.0,2165847.0,361580,0,0,2148,10561,7697,0,179
FLORIDA,FL,12,REPUBLICAN,284941,2165847.0,2165847.0,361580,0,0,2148,10561,7697,0,179
FLORIDA,FL,13,DEMOCRAT,215405,2916823.0,2916823.0,486820,0,0,2892,14219,10363,0,241
FLORIDA,FL,13,REPUBLICAN,190713,2916823.0,2916823.0,486820,0,0,2892,14219,10363,0,241
FLORIDA,FL,14,DEMOCRAT,224240,2519913.0,2519913.0,422180,0,0,2508,12331,8987,0,209
FLORIDA,FL,14,REPUBLICAN,147896,2519913.0,2519913.0,422180,0,0,2508,12331,8987,0,209
FLORIDA,FL,15,DEMOCRAT,174297,2342418.0,2342418.0,391880,0,0,2328,11446,8342,0,194
FLORIDA,FL,15,REPUBLICAN,216374,2342418.0,2342418.0,391880,0,0,2328,11446,8342,0,194
FLORIDA,FL,16,DEMOCRAT,215683,2247182.0,2247182.0,375720,0,0,2232,10974,7998,0,186
FLORIDA,FL,16,REPUBLICAN,269001,2247182.0,2247182.0,375720,0,0,2232,10974,7998,0,186
FLORIDA,FL,17,DEMOCRAT,140487,2834525.0,2834525.0,474700,0,0,2820,13865,10105,0,235
FLORIDA,FL,17,REPUBLICAN,266514,2834525.0,2834525.0,474700,0,0,2820,13865,10105,0,235
FLORIDA,FL,18,DEMOCRAT,186674,4186630.0,4186630.0,698920,0,0,4152,20414,14878,0,346
FLORIDA,FL,18,REPUBLICAN,253286,4186630.0,4186630.0,698920,0,0,4152,20414,14878,0,346
