,state,state_po,county_fips,party_simplified,votes,totalVotes_x,totalStateVotes,totalVotes_y,votePercentage
124,ARIZONA,AZ,4007.0,DEMOCRAT,9190,27118,27118,54236,0.33888929862084227
125,ARIZONA,AZ,4007.0,REPUBLICAN,17928,27118,27118,54236,0.6611107013791577
126,ARIZONA,AZ,4009.0,DEMOCRAT,4436,14589,14589,29178,0.3040647062855576
127,ARIZONA,AZ,4009.0,REPUBLICAN,10153,14589,14589,29178,0.6959352937144424
128,ARIZONA,AZ,4011.0,DEMOCRAT,1380,3606,3606,7212,0.3826955074875208
129,ARIZONA,AZ,4011.0,REPUBLICAN,2226,3606,3606,7212,0.6173044925124792
130,ARIZONA,AZ,4012.0,DEMOCRAT,2042,7105,7105,14210,0.2874032371569317
131,ARIZONA,AZ,4012.0,REPUBLICAN,5063,7105,7105,14210,0.7125967628430683
132,ARIZONA,AZ,4013.0,DEMOCRAT,1004699,1985609,1985609,3971218,0.5059903535892515
133,ARIZONA,AZ,4013.0,REPUBLICAN,980910,1985609,1985609,3971218,0.4940096464107485
134,ARIZONA,AZ,4015.0,DEMOCRAT,23659,100170,100170,200340,0.236188479584706
135,ARIZONA,AZ,4015.0,REPUBLICAN,76511,100170,100170,200340,0.763811520415294
136,ARIZONA,AZ,4017.0,DEMOCRAT,24205,50576,50576,101152,0.4785866814299272
137,ARIZONA,AZ,4017.0,REPUBLICAN,26371,50576,50576,101152,0.5214133185700728
138,ARIZONA,AZ,4019.0,DEMOCRAT,297856,506316,506316,1012632,0.5882808364736647
139,ARIZONA,AZ,4019.0,REPUBLICAN,208460,506316,506316,1012632,0.4117191635263353
140,ARIZONA,AZ,4021.0,DEMOCRAT,74752,180593,180593,361186,0.4139252351973775
141,ARIZONA,AZ,4021.0,REPUBLICAN,105841,180593,180593,361186,0.5860747648026224
142,ARIZONA,AZ,4023.0,DEMOCRAT,13493,19222,19222,38444,0.701956091977942
143,ARIZONA,AZ,4023.0,REPUBLICAN,5729,19222,19222,38444,0.29804390802205805
144,ARIZONA,AZ,4025.0,DEMOCRAT,47855,139358,139358,278716,0.3433961451800399
145,ARIZONA,AZ,4025.0,REPUBLICAN,91503,139358,139358,278716,0.6566038548199601
146,ARIZONA,AZ,4027.0,DEMOCRAT,33016,68131,68131,136262,0.48459585210843814
147,ARIZONA,AZ,4027.0,REPUBLICAN,35115,68131,68131,136262,0.5154041478915619
148,ARKANSAS,AR,5001.0,REPUBLICAN,5402,5402,5402,5402,1.0
149,ARKANSAS,AR,5003.0,DEMOCRAT,2092,7864,7864,23592,0.26602238046795523
150,ARKANSAS,AR,5003.0,LIBERTARIAN,169,7864,7864,23592,0.021490335707019328
151,ARKANSAS,AR,5003.0,REPUBLICAN,5603,7864,7864,23592,0.7124872838250255
152,ARKANSAS,AR,5005.0,REPUBLICAN,18684,18684,18684,18684,1.0
153,ARKANSAS,AR,5007.0,DEMOCRAT,37491,119551,119551,358653,0.3135983806074395
154,ARKANSAS,AR,5007.0,LIBERTARIAN,5161,119551,119551,358653,0.043169860561601325
155,ARKANSAS,AR,5007.0,REPUBLICAN,76899,119551,119551,358653,0.6432317588309592
156,ARKANSAS,AR,5009.0,DEMOCRAT,2644,16941,16941,50823,0.15607107018475888
157,ARKANSAS,AR,5009.0,LIBERTARIAN,473,16941,16941,50823,0.02792042972669854
158,ARKANSAS,AR,5009.0,REPUBLICAN,13824,16941,16941,50823,0.8160085000885426
159,ARKANSAS,AR,5011.0,DEMOCRAT,1124,3610,3610,10830,0.3113573407202216
160,ARKANSAS,AR,5011.0,LIBERTARIAN,88,3610,3610,10830,0.02437673130193906
161,ARKANSAS,AR,5011.0,REPUBLICAN,2398,3610,3610,10830,0.6642659279778393
162,ARKANSAS,AR,5013.0,DEMOCRAT,457,2147,2147,6441,0.2128551467163484
163,ARKANSAS,AR,5013.0,LIBERTARIAN,41,2147,2147,6441,0.019096413600372612
164,ARKANSAS,AR,5013.0,REPUBLICAN,1649,2147,2147,6441,0.768048439683279
165,ARKANSAS,AR,5015.0,DEMOCRAT,3813,11702,11702,35106,0.3258417364553068
166,ARKANSAS,AR,5015.0,LIBERTARIAN,301,11702,11702,35106,0.025722098786532217
167,ARKANSAS,AR,5015.0,REPUBLICAN,7588,11702,11702,35106,0.648436164758161
168,ARKANSAS,AR,5017.0,REPUBLICAN,3001,3001,3001,3001,1.0
169,ARKANSAS,AR,5019.0,DEMOCRAT,3137,8295,8295,24885,0.3781796262808921
170,ARKANSAS,AR,5019.0,LIBERTARIAN,191,8295,8295,24885,0.023025919228450875
171,ARKANSAS,AR,5019.0,REPUBLICAN,4967,8295,8295,24885,0.598794454490657
172,ARKANSAS,AR,5021.0,REPUBLICAN,4797,4797,4797,4797,1.0
