,location_key,county,cumulative_confirmed,cumulative_deceased,2020_earlyPop,2020_pop,2021_pop,2022_pop,state,cumulative_percentage,dead_percentage
142,AR,5101,1719.0,47.0,7225.0,7193.0,7164.0,7078.0,Arkansas,0.24286521616275783,0.006640293868324386
143,AR,5103,5484.0,104.0,22648.0,22614.0,22344.0,22049.0,Arkansas,0.24871876275568053,0.0047167672003265455
144,AR,5105,2523.0,37.0,10021.0,10000.0,9989.0,10063.0,Arkansas,0.2507204610951009,0.003676835933618205
145,AR,5107,4829.0,99.0,16576.0,16443.0,15822.0,15304.0,Arkansas,0.31553842132775745,0.006468897020386827
146,AR,5109,2618.0,44.0,10180.0,10172.0,10121.0,10179.0,Arkansas,0.257196188230671,0.004322625012280185
147,AR,5111,8052.0,127.0,22965.0,22952.0,22730.0,22495.0,Arkansas,0.35794621026894863,0.005645699044232052
148,AR,5113,4148.0,149.0,19223.0,19187.0,19331.0,19337.0,Arkansas,0.21451104100946372,0.007705435176087294
149,AR,5115,18455.0,210.0,63385.0,63403.0,63756.0,64065.0,Arkansas,0.2880668071489893,0.003277920861624912
150,AR,5117,1965.0,43.0,8284.0,8246.0,8094.0,8069.0,Arkansas,0.24352460032222084,0.005329037055397199
151,AR,5119,103939.0,1186.0,399117.0,399246.0,398069.0,399145.0,Arkansas,0.260404113793233,0.002971351263325358
152,AR,5121,5217.0,89.0,18571.0,18590.0,18842.0,18837.0,Arkansas,0.2769549291288422,0.004724743855178638
153,AR,5123,7170.0,96.0,23089.0,23013.0,22701.0,22451.0,Arkansas,0.31936216649592447,0.004275978798271792
154,AR,5125,31019.0,339.0,123424.0,123815.0,125319.0,127357.0,Arkansas,0.24355944314014935,0.0026618089308008195
155,AR,5127,2299.0,43.0,9833.0,9828.0,9795.0,9805.0,Arkansas,0.23447220805711372,0.0043855175930647625
156,AR,5129,2126.0,48.0,7831.0,7842.0,7880.0,7918.0,Arkansas,0.2685021470068199,0.006062136903258399
157,AR,5131,32837.0,526.0,127800.0,127800.0,128425.0,129059.0,Arkansas,0.2544340185496556,0.00407565532043484
158,AR,5133,5943.0,75.0,15844.0,15779.0,15709.0,15686.0,Arkansas,0.37887288027540483,0.004781333673339283
159,AR,5135,4640.0,105.0,17280.0,17319.0,17660.0,17810.0,Arkansas,0.2605277933745087,0.005895564289724873
160,AR,5137,2918.0,68.0,12358.0,12350.0,12432.0,12575.0,Arkansas,0.23204771371769384,0.0054075546719681905
161,AR,5139,9268.0,176.0,39049.0,38926.0,38364.0,37752.0,Arkansas,0.24549692731510914,0.004662004662004662
162,AR,5141,3489.0,62.0,15797.0,15801.0,15751.0,16102.0,Arkansas,0.2166811576201714,0.003850453359831077
163,AR,5143,68841.0,621.0,245866.0,246756.0,251692.0,256054.0,Arkansas,0.2688534449764503,0.002425269669679052
164,AR,5145,22164.0,292.0,76822.0,76851.0,77157.0,77755.0,Arkansas,0.28504919297794357,0.003755385505755257
165,AR,5147,1732.0,31.0,6276.0,6228.0,6153.0,6049.0,Arkansas,0.2863283187303687,0.005124814018846091
166,AR,5149,6859.0,106.0,20259.0,20214.0,20152.0,20129.0,Arkansas,0.34075214864126385,0.005266034080182821
167,AZ,4001,22540.0,614.0,66024.0,65911.0,65385.0,65432.0,Arizona,0.34447976525247587,0.009383787749113583
168,AZ,4003,31614.0,573.0,125448.0,125522.0,125763.0,125663.0,Arizona,0.2515776322386064,0.004559814742605222
169,AZ,4005,44091.0,478.0,145100.0,145180.0,142780.0,144060.0,Arizona,0.3060599750104123,0.003318061918645009
170,AZ,4007,17398.0,381.0,53273.0,53351.0,53521.0,53922.0,Arizona,0.3226512369719224,0.007065761655724936
171,AZ,4009,12051.0,177.0,38533.0,38638.0,38882.0,38779.0,Arizona,0.31076097888032184,0.004564326052760514
172,AZ,4011,2226.0,33.0,9561.0,9526.0,9377.0,9302.0,Arizona,0.23930337561814663,0.0035476241668458398
173,AZ,4012,5227.0,144.0,16555.0,16575.0,16391.0,16506.0,Arizona,0.31667272506967165,0.008724100327153763
174,AZ,4013,1283590.0,17326.0,4420574.0,4440232.0,4494693.0,4551524.0,Arizona,0.28201323336974604,0.0038066370736482987
175,AZ,4015,57631.0,1454.0,213269.0,214176.0,216957.0,220816.0,Arizona,0.2609910513730889,0.006584667777697268
176,AZ,4017,38394.0,909.0,106716.0,106762.0,107621.0,108650.0,Arizona,0.35337321675103545,0.008366313851817764
177,AZ,4019,255688.0,3850.0,1043434.0,1045175.0,1048895.0,1057597.0,Arizona,0.24176316687736443,0.003640328026649092
178,AZ,4021,132748.0,1666.0,425257.0,429446.0,448144.0,464154.0,Arizona,0.2859999052038763,0.0035893259564713435
179,AZ,4023,16683.0,232.0,47665.0,47705.0,48034.0,48759.0,Arizona,0.3421522180520519,0.004758095941262126
180,AZ,4025,48293.0,1212.0,236218.0,237216.0,242193.0,246191.0,Arizona,0.1961607044936655,0.004923006933640953
181,AZ,4027,62751.0,1181.0,203880.0,204528.0,206241.0,207842.0,Arizona,0.30191684067705277,0.005682200902608713
182,CA,6001,284054.0,1896.0,1682331.0,1680380.0,1643837.0,1628997.0,California,0.17437355624350445,0.001163906379201435
183,CA,6003,126.0,0.0,1201.0,1204.0,1235.0,1190.0,California,0.10588235294117647,0.0
184,CA,6005,9242.0,86.0,40474.0,40532.0,41144.0,41412.0,California,0.2231720274316623,0.0020766927460639426
185,CA,6007,40181.0,424.0,211631.0,210135.0,206190.0,207303.0,California,0.19382739275360222,0.00204531531140408
186,CA,6009,7754.0,120.0,45285.0,45346.0,46219.0,46563.0,California,0.1665270708502459,0.0025771535339217835
187,CA,6011,4549.0,22.0,21837.0,21858.0,21913.0,21914.0,California,0.2075841927534909,0.0010039244318700374
188,CA,6013,209958.0,1302.0,1165927.0,1165986.0,1163298.0,1156966.0,California,0.1814729214168783,0.0011253571842214896
189,CA,6015,6381.0,50.0,27745.0,27601.0,27553.0,27082.0,California,0.23561775348940256,0.001846244738202496
190,CA,6017,30508.0,212.0,191184.0,191220.0,193590.0,192646.0,California,0.15836300779668408,0.001100464063619281
191,CA,6019,257611.0,2757.0,1008650.0,1009503.0,1012992.0,1015190.0,California,0.25375643968124195,0.0027157477910538914
192,CA,6021,6631.0,67.0,28915.0,28896.0,28664.0,28339.0,California,0.2339884964183634,0.002364233035745792
193,CA,6023,20952.0,146.0,136465.0,136261.0,134836.0,135010.0,California,0.15518850455521813,0.0010814013776757278
194,CA,6025,66925.0,916.0,179709.0,179595.0,179215.0,178713.0,California,0.37448310979055804,0.005125536474682871
195,CA,6027,4636.0,56.0,19025.0,19001.0,18927.0,18718.0,California,0.24767603376429106,0.0029917726252804786
196,CA,6029,244681.0,2427.0,909244.0,905828.0,912351.0,916108.0,California,0.26708750496666334,0.0026492509616770077
197,CA,6031,55429.0,448.0,152488.0,152790.0,152679.0,152981.0,California,0.36232604048868816,0.00292846824115413
198,CA,6033,11699.0,137.0,68158.0,68195.0,68584.0,68191.0,California,0.17156222961974454,0.002009062779545688
199,CA,6035,10751.0,69.0,32730.0,32317.0,31813.0,29904.0,California,0.3595171214553237,0.002307383627608347
200,CA,6037,2908425.0,32022.0,10014042.0,9992236.0,9811842.0,9721138.0,California,0.29918565089807386,0.003294058782006798
201,CA,6039,43685.0,365.0,156259.0,156343.0,158910.0,160256.0,California,0.2725950978434505,0.0022776058306709264
202,CA,6041,38685.0,293.0,262318.0,261282.0,259162.0,256018.0,California,0.15110265684444063,0.0011444507808044747
203,CA,6043,3145.0,35.0,17128.0,17118.0,17107.0,17020.0,California,0.18478260869565216,0.002056404230317274
204,CA,6045,16568.0,124.0,91595.0,91361.0,91003.0,89783.0,California,0.1845338204337124,0.0013811077820968334
205,CA,6047,72959.0,823.0,281202.0,281814.0,284458.0,290014.0,California,0.2515706138324357,0.0028377940375292226
206,CA,6049,1485.0,11.0,8700.0,8663.0,8571.0,8511.0,California,0.17448008459640466,0.001292445071084479
207,CA,6051,3144.0,6.0,13198.0,13226.0,13261.0,12978.0,California,0.2422561257512714,0.0004623208506703652
208,CA,6053,95140.0,744.0,439036.0,438390.0,437249.0,432858.0,California,0.21979494430044033,0.001718808477606975
209,CA,6055,27765.0,144.0,138024.0,137485.0,136206.0,134300.0,California,0.2067386448250186,0.0010722263588979896
210,CA,6057,17503.0,127.0,102235.0,102249.0,103457.0,102293.0,California,0.17110652732836068,0.0012415316786094845
211,CA,6059,600384.0,7023.0,3186979.0,3185516.0,3161005.0,3151184.0,California,0.1905264814748996,0.002228686106555504
212,CA,6061,71527.0,628.0,404740.0,405889.0,412789.0,417772.0,California,0.17121061248719396,0.0015032122784676809
213,CA,6063,3379.0,14.0,19796.0,19749.0,19940.0,19351.0,California,0.17461629889928168,0.0007234768229032091
214,CA,6065,626695.0,6527.0,2418177.0,2422847.0,2453178.0,2473902.0,California,0.2533224840757637,0.0026383421817032363
215,CA,6067,314407.0,3159.0,1585046.0,1586465.0,1588106.0,1584169.0,California,0.19846809273505542,0.0019941054268831165
216,CA,6069,13636.0,98.0,64207.0,64521.0,66675.0,67579.0,California,0.2017786590508886,0.001450154633835955
217,CA,6071,597377.0,7423.0,2181662.0,2183239.0,2192882.0,2193656.0,California,0.2723202726407422,0.0033838486982462153
218,CA,6073,824586.0,5271.0,3298635.0,3296045.0,3274954.0,3276208.0,California,0.25168914794176683,0.0016088722083579554
219,CA,6075,143959.0,866.0,873959.0,870393.0,811253.0,808437.0,California,0.17807077112997055,0.0010712028271838128
220,CA,6077,178501.0,2236.0,779227.0,780558.0,788140.0,793229.0,California,0.22503085489814417,0.0028188581103313166
221,CA,6079,57556.0,478.0,282443.0,281879.0,279298.0,282013.0,California,0.20408988238130865,0.0016949573246623382
222,CA,6081,137238.0,755.0,764432.0,762511.0,739060.0,729181.0,California,0.18820841464602067,0.0010354082182613097
223,CA,6083,92683.0,693.0,448217.0,448244.0,437434.0,443837.0,California,0.20882215768401463,0.0015613840216115375
224,CA,6085,342015.0,2298.0,1936274.0,1931026.0,1886595.0,1870945.0,California,0.18280334269580345,0.0012282563089775487
225,CA,6087,52532.0,263.0,270869.0,270462.0,260495.0,264370.0,California,0.19870635851269056,0.0009948178688958657
226,CA,6089,36988.0,648.0,182152.0,181984.0,181981.0,180930.0,California,0.2044326535124081,0.003581495606035483
227,CA,6091,324.0,5.0,3234.0,3228.0,3295.0,3217.0,California,0.1007149518184644,0.001554243083618278
228,CA,6093,7478.0,105.0,44075.0,43991.0,44026.0,43660.0,California,0.1712780577187357,0.0024049473202015577
229,CA,6095,89419.0,451.0,453490.0,452698.0,450350.0,448747.0,California,0.19926372766837439,0.0010050206463775803
230,CA,6097,90191.0,490.0,488875.0,488281.0,484315.0,482650.0,California,0.18686625919403294,0.0010152284263959391
231,CA,6099,136645.0,1694.0,552880.0,553217.0,552851.0,551275.0,California,0.24787084485964356,0.003072876513536801
232,CA,6101,23045.0,234.0,99631.0,99464.0,99038.0,98503.0,California,0.23395226541323613,0.002375562165619321
233,CA,6103,14753.0,202.0,65831.0,65682.0,65380.0,65245.0,California,0.2261169438271132,0.003096022683730554
234,CA,6105,1485.0,20.0,16112.0,16089.0,16061.0,15781.0,California,0.09410050060198974,0.0012673468094544073
235,CA,6107,136125.0,1469.0,473117.0,473891.0,476946.0,477544.0,California,0.28505226743504264,0.003076156333238403
236,CA,6109,13758.0,182.0,55623.0,55374.0,55065.0,54531.0,California,0.2522968586675469,0.0033375511177128605
237,CA,6111,186062.0,1498.0,843843.0,843310.0,839358.0,832605.0,California,0.22346971252875011,0.001799172476744675
238,CA,6113,41061.0,316.0,216405.0,216291.0,213039.0,222115.0,California,0.184863696733674,0.0014226864462102964
