state,state_po,county_fips,votes,totalVotes_x,totalStateVotes,totalVotes_y,votePercentage
ARKANSAS,AR,5107.0,4350,4350,4350,4350,1.0
ARKANSAS,AR,5109.0,4195,12585,12585,37755,0.7046483909415971
ARKANSAS,AR,5111.0,6933,6933,6933,6933,1.0
ARKANSAS,AR,5113.0,8406,25218,25218,75654,0.7054484891743993
ARKANSAS,AR,5115.0,24310,72930,72930,218790,0.5496503496503496
ARKANSAS,AR,5117.0,3130,3130,3130,3130,1.0
ARKANSAS,AR,5119.0,169493,338986,338986,677972,-0.19578979662876933
ARKANSAS,AR,5121.0,6227,6227,6227,6227,1.0
ARKANSAS,AR,5123.0,5192,5192,5192,5192,1.0
ARKANSAS,AR,5125.0,56868,113736,113736,227472,0.42829007526201024
ARKANSAS,AR,5127.0,3517,10551,10551,31653,0.7187944270685243
ARKANSAS,AR,5129.0,3597,4103,10791,12309,0.9847094801223242
ARKANSAS,AR,5131.0,46961,140883,140883,422649,0.40514469453376206
ARKANSAS,AR,5133.0,5122,15366,15366,46098,0.5777040218664584
ARKANSAS,AR,5135.0,6855,6855,6855,6855,1.0
ARKANSAS,AR,5137.0,5293,5293,5293,5293,1.0
ARKANSAS,AR,5139.0,16333,48999,48999,146997,0.3354558256290945
ARKANSAS,AR,5141.0,7750,15500,15500,31000,0.5669677419354839
ARKANSAS,AR,5143.0,93724,281172,281172,843516,0.10794460330331607
ARKANSAS,AR,5145.0,30816,61632,61632,123264,0.5955347871235721
ARKANSAS,AR,5147.0,2155,2155,2155,2155,1.0
ARKANSAS,AR,5149.0,6645,19935,19935,59805,0.6052671181339353
CALIFORNIA,CA,6001.0,738251,1476502,1476502,2953004,-0.6131071952493121
CALIFORNIA,CA,6003.0,737,1474,1474,2948,-0.2835820895522388
CALIFORNIA,CA,6005.0,22092,44184,44184,88368,0.2523085279739272
CALIFORNIA,CA,6007.0,102041,204082,204082,408164,-0.021393361491949314
CALIFORNIA,CA,6009.0,26896,53792,53792,107584,0.23163295657346822
CALIFORNIA,CA,6011.0,7676,15352,15352,30704,0.1276706618030224
CALIFORNIA,CA,6013.0,561065,1122130,1122130,2244260,-0.41121973389892436
CALIFORNIA,CA,6015.0,11192,22384,22384,44768,0.08809864188706218
CALIFORNIA,CA,6017.0,115307,230614,230614,461228,0.10504999696462486
CALIFORNIA,CA,6019.0,361230,722460,722460,1444920,-0.04239957921545834
CALIFORNIA,CA,6021.0,11130,22260,22260,44520,0.28050314465408804
CALIFORNIA,CA,6023.0,66745,133490,133490,266980,-0.3810472694583864
CALIFORNIA,CA,6025.0,54955,109910,109910,219820,-0.26896551724137935
CALIFORNIA,CA,6027.0,9261,18522,18522,37044,0.015441097073750187
CALIFORNIA,CA,6029.0,303518,607036,607036,1214072,0.1879295461883645
CALIFORNIA,CA,6031.0,43594,87188,87188,174376,0.23792264990595036
CALIFORNIA,CA,6033.0,28316,56632,56632,113264,-0.12438197485520552
CALIFORNIA,CA,6035.0,11892,23784,23784,47568,0.49545913218970733
CALIFORNIA,CA,6037.0,3875409,6878901,7750818,13757802,-0.5253192630764907
CALIFORNIA,CA,6039.0,52820,105640,105640,211280,0.1724725482771678
CALIFORNIA,CA,6041.0,150092,300184,300184,600368,-0.6620339525091277
CALIFORNIA,CA,6043.0,10101,20202,20202,40404,0.16938916938916937
CALIFORNIA,CA,6045.0,42731,85462,85462,170924,-0.40062249888839485
CALIFORNIA,CA,6047.0,89390,178780,178780,357560,-0.11003467949435058
CALIFORNIA,CA,6049.0,4315,8630,8630,17260,0.4020857473928157
CALIFORNIA,CA,6051.0,6602,13204,13204,26408,-0.20236292032717357
CALIFORNIA,CA,6053.0,163348,326696,326696,653392,-0.4944413154737126
CALIFORNIA,CA,6055.0,70676,141352,141352,282704,-0.4772765861112683
CALIFORNIA,CA,6057.0,64575,129150,129150,258300,-0.15109562524196668
CALIFORNIA,CA,6059.0,1497879,2989143,2995758,5978286,-0.06370674800835047
CALIFORNIA,CA,6061.0,229979,459958,459958,919916,0.09756977811017525
CALIFORNIA,CA,6063.0,11278,22556,22556,45112,0.1599574392622805
CALIFORNIA,CA,6065.0,980257,1960514,1960514,3921028,-0.08125318156361039
CALIFORNIA,CA,6067.0,702462,1404924,1404924,2809848,-0.2645694713735405
CALIFORNIA,CA,6069.0,28147,56294,56294,112588,-0.33122535261306707
CALIFORNIA,CA,6071.0,811731,1623462,1623462,3246924,-0.12092306441419631
CALIFORNIA,CA,6073.0,1522667,2710476,3045334,5420952,-0.3373810557396988
CALIFORNIA,CA,6075.0,411799,460648,823598,921296,-0.9554199985915459
CALIFORNIA,CA,6077.0,283020,566040,566040,1132080,-0.14242809695427883
CALIFORNIA,CA,6079.0,157780,315560,315560,631120,-0.07248066928634805
CALIFORNIA,CA,6081.0,362123,664279,724246,1328558,-0.6491468368482531
CALIFORNIA,CA,6083.0,199365,398730,398730,797460,-0.24980814084718977
CALIFORNIA,CA,6085.0,796053,1337368,1592106,2674736,-0.6148774013790539
CALIFORNIA,CA,6087.0,139732,250030,279464,500060,-0.7230126241662611
CALIFORNIA,CA,6089.0,91834,183668,183668,367336,0.3063353442080275
CALIFORNIA,CA,6091.0,1930,3860,3860,7720,0.16994818652849736
CALIFORNIA,CA,6093.0,23353,46706,46706,93412,0.12662184730013276
CALIFORNIA,CA,6095.0,202970,405940,405940,811880,-0.28057348376607383
CALIFORNIA,CA,6097.0,263333,526666,526666,1053332,-0.5417589136188781
CALIFORNIA,CA,6099.0,210952,421904,421904,843808,-0.09506428002578787
CALIFORNIA,CA,6101.0,41884,83768,83768,167536,0.12458217935249732
CALIFORNIA,CA,6103.0,28589,57178,57178,114356,0.33491902479974817
CALIFORNIA,CA,6105.0,6131,12262,12262,24524,0.014516392105692333
CALIFORNIA,CA,6107.0,146168,292336,292336,584672,0.12775710141754693
CALIFORNIA,CA,6109.0,30128,60256,60256,120512,0.18932554434413174
CALIFORNIA,CA,6111.0,413419,826838,826838,1653676,-0.1659067435217056
CALIFORNIA,CA,6113.0,95217,190434,190434,380868,-0.38414358780469876
CALIFORNIA,CA,6115.0,29258,58516,58516,117032,0.21402693280470303
COLORADO,CO,8001.0,226122,904488,904488,3617952,-0.16067432624866224
COLORADO,CO,8003.0,7662,30648,30648,122592,0.01696684938658316
COLORADO,CO,8005.0,343682,1374728,1374728,5498912,-0.22476300766406154
COLORADO,CO,8007.0,8922,35688,35688,142752,0.16375252185608602
COLORADO,CO,8009.0,2165,8660,8660,34640,0.7145496535796767
COLORADO,CO,8011.0,2225,8900,8900,35600,0.38696629213483147
COLORADO,CO,8013.0,200903,803612,803612,3214448,-0.5194546622001662
COLORADO,CO,8014.0,45227,180908,180908,723632,-0.22216817387843546
COLORADO,CO,8015.0,13406,67030,67030,335150,0.0015664627778606555
COLORADO,CO,8017.0,1121,4484,4484,17936,0.7930419268510259
COLORADO,CO,8019.0,6325,25300,25300,101200,-0.11335968379446637
COLORADO,CO,8021.0,4218,16872,16872,67488,0.06851588430535793
COLORADO,CO,8023.0,2034,8136,8136,32544,-0.29006882989183874
COLORADO,CO,8025.0,1714,6856,6856,27424,0.5075845974329055
COLORADO,CO,8027.0,3581,14324,14324,57296,0.3792236805361631
COLORADO,CO,8029.0,19145,76580,76580,306320,0.3768085662052755
COLORADO,CO,8031.0,372988,1491952,1491952,5967808,-0.5840429182708291
COLORADO,CO,8033.0,1414,5656,5656,22624,0.5261669024045262
COLORADO,CO,8035.0,226005,904020,904020,3616080,0.1525806951173646
COLORADO,CO,8037.0,28521,114084,114084,456336,-0.2617369657445391
COLORADO,CO,8039.0,18522,74088,74088,296352,0.5580930785012417
COLORADO,CO,8041.0,371128,1855640,1855640,9278200,0.19509441486495227
COLORADO,CO,8043.0,25071,125355,125355,626775,0.43372821187826577
COLORADO,CO,8045.0,30438,121752,121752,487008,-0.0583152638149681
COLORADO,CO,8047.0,4092,16368,16368,65472,-0.09604105571847504
COLORADO,CO,8049.0,9488,37952,37952,151808,0.04563659359190553
COLORADO,CO,8051.0,11020,44080,44080,176320,-0.2771324863883847
COLORADO,CO,8053.0,612,2448,2448,9792,0.18464052287581695
COLORADO,CO,8055.0,4335,17340,17340,69360,0.036447520184544446
COLORADO,CO,8057.0,852,3408,3408,13632,0.6032863849765258
COLORADO,CO,8059.0,366397,1465588,1465588,5862352,-0.15681896958763308
COLORADO,CO,8061.0,881,3524,3524,14096,0.8059023836549375
COLORADO,CO,8063.0,3766,15064,15064,60256,0.6964949548592672
COLORADO,CO,8065.0,3872,15488,15488,61952,-0.20609504132231404
COLORADO,CO,8067.0,35046,140184,140184,560736,-0.16601038634936943
COLORADO,CO,8069.0,217828,871312,871312,3485248,-0.11741833005857827
COLORADO,CO,8071.0,7853,31412,31412,125648,0.1154972621927926
COLORADO,CO,8073.0,2599,10396,10396,41584,0.6741054251635245
COLORADO,CO,8075.0,10302,41208,41208,164832,0.6100757134536983
COLORADO,CO,8077.0,89427,357708,357708,1430832,0.27800328759770543
COLORADO,CO,8079.0,743,2972,2972,11888,0.16285329744279942
COLORADO,CO,8081.0,6891,27564,27564,110256,0.6448991438107676
COLORADO,CO,8083.0,15283,61132,61132,244528,0.23778054046980307
COLORADO,CO,8085.0,24501,98004,98004,392016,0.3756173217419697
COLORADO,CO,8087.0,13432,53728,53728,214912,0.46679571173317447
COLORADO,CO,8089.0,9430,37720,37720,150880,0.2924708377518558
COLORADO,CO,8091.0,3965,15860,15860,63440,-0.1823455233291299
COLORADO,CO,8093.0,12006,54212,60030,271060,0.19556888222555385
COLORADO,CO,8095.0,2425,9700,9700,38800,0.6445360824742268
COLORADO,CO,8097.0,11800,47200,47200,188800,-0.49601694915254235
COLORADO,CO,8099.0,5430,21720,21720,86880,0.5012891344383057
