,CountyName,StateName,CountyFIPS,StateAbbr,STATE_COUNTY
186,Yell,Arkansas,05149,AR,AR | YELL
187,Alameda,California,06001,CA,CA | ALAMEDA
188,Alpine,California,06003,CA,CA | ALPINE
189,Amador,California,06005,CA,CA | AMADOR
190,Butte,California,06007,CA,CA | BUTTE
191,Calaveras,California,06009,CA,CA | CALAVERAS
192,Colusa,California,06011,CA,CA | COLUSA
193,Contra Costa,California,06013,CA,CA | CONTRA COSTA
194,Del Norte,California,06015,CA,CA | DEL NORTE
195,El Dorado,California,06017,CA,CA | EL DORADO
196,Fresno,California,06019,CA,CA | FRESNO
197,Glenn,California,06021,CA,CA | GLENN
198,Humboldt,California,06023,CA,CA | HUMBOLDT
199,Imperial,California,06025,CA,CA | IMPERIAL
200,Inyo,California,06027,CA,CA | INYO
201,Kern,California,06029,CA,CA | KERN
202,Kings,California,06031,CA,CA | KINGS
203,Lake,California,06033,CA,CA | LAKE
204,Lassen,California,06035,CA,CA | LASSEN
205,Los Angeles,California,06037,CA,CA | LOS ANGELES
206,Madera,California,06039,CA,CA | MADERA
207,Marin,California,06041,CA,CA | MARIN
208,Mariposa,California,06043,CA,CA | MARIPOSA
209,Mendocino,California,06045,CA,CA | MENDOCINO
210,Merced,California,06047,CA,CA | MERCED
211,Modoc,California,06049,CA,CA | MODOC
212,Mono,California,06051,CA,CA | MONO
213,Monterey,California,06053,CA,CA | MONTEREY
214,Napa,California,06055,CA,CA | NAPA
215,Nevada,California,06057,CA,CA | NEVADA
216,Orange,California,06059,CA,CA | ORANGE
217,Placer,California,06061,CA,CA | PLACER
218,Plumas,California,06063,CA,CA | PLUMAS
219,Riverside,California,06065,CA,CA | RIVERSIDE
220,Sacramento,California,06067,CA,CA | SACRAMENTO
221,San Benito,California,06069,CA,CA | SAN BENITO
222,San Bernardino,California,06071,CA,CA | SAN BERNARDINO
223,San Diego,California,06073,CA,CA | SAN DIEGO
224,San Francisco,California,06075,CA,CA | SAN FRANCISCO
225,San Joaquin,California,06077,CA,CA | SAN JOAQUIN
226,San Luis Obispo,California,06079,CA,CA | SAN LUIS OBISPO
227,San Mateo,California,06081,CA,CA | SAN MATEO
228,Santa Barbara,California,06083,CA,CA | SANTA BARBARA
229,Santa Clara,California,06085,CA,CA | SANTA CLARA
230,Santa Cruz,California,06087,CA,CA | SANTA CRUZ
231,Shasta,California,06089,CA,CA | SHASTA
232,Sierra,California,06091,CA,CA | SIERRA
233,Siskiyou,California,06093,CA,CA | SISKIYOU
234,Solano,California,06095,CA,CA | SOLANO
235,Sonoma,California,06097,CA,CA | SONOMA
236,Stanislaus,California,06099,CA,CA | STANISLAUS
237,Sutter,California,06101,CA,CA | SUTTER
238,Tehama,California,06103,CA,CA | TEHAMA
239,Trinity,California,06105,CA,CA | TRINITY
240,Tulare,California,06107,CA,CA | TULARE
241,Tuolumne,California,06109,CA,CA | TUOLUMNE
242,Ventura,California,06111,CA,CA | VENTURA
243,Yolo,California,06113,CA,CA | YOLO
244,Yuba,California,06115,CA,CA | YUBA
245,Adams,Colorado,08001,CO,CO | ADAMS
246,Alamosa,Colorado,08003,CO,CO | ALAMOSA
247,Arapahoe,Colorado,08005,CO,CO | ARAPAHOE
248,Archuleta,Colorado,08007,CO,CO | ARCHULETA
249,Baca,Colorado,08009,CO,CO | BACA
250,Bent,Colorado,08011,CO,CO | BENT
251,Boulder,Colorado,08013,CO,CO | BOULDER
252,Broomfield,Colorado,08014,CO,CO | BROOMFIELD
253,Chaffee,Colorado,08015,CO,CO | CHAFFEE
254,Cheyenne,Colorado,08017,CO,CO | CHEYENNE
255,Clear Creek,Colorado,08019,CO,CO | CLEAR CREEK
256,Conejos,Colorado,08021,CO,CO | CONEJOS
257,Costilla,Colorado,08023,CO,CO | COSTILLA
258,Crowley,Colorado,08025,CO,CO | CROWLEY
259,Custer,Colorado,08027,CO,CO | CUSTER
260,Delta,Colorado,08029,CO,CO | DELTA
261,Denver,Colorado,08031,CO,CO | DENVER
262,Dolores,Colorado,08033,CO,CO | DOLORES
263,Douglas,Colorado,08035,CO,CO | DOUGLAS
264,Eagle,Colorado,08037,CO,CO | EAGLE
265,Elbert,Colorado,08039,CO,CO | ELBERT
266,El Paso,Colorado,08041,CO,CO | EL PASO
267,Fremont,Colorado,08043,CO,CO | FREMONT
268,Garfield,Colorado,08045,CO,CO | GARFIELD
269,Gilpin,Colorado,08047,CO,CO | GILPIN
270,Grand,Colorado,08049,CO,CO | GRAND
271,Gunnison,Colorado,08051,CO,CO | GUNNISON
272,Hinsdale,Colorado,08053,CO,CO | HINSDALE
273,Huerfano,Colorado,08055,CO,CO | HUERFANO
274,Jackson,Colorado,08057,CO,CO | JACKSON
275,Jefferson,Colorado,08059,CO,CO | JEFFERSON
276,Kiowa,Colorado,08061,CO,CO | KIOWA
277,Kit Carson,Colorado,08063,CO,CO | KIT CARSON
278,Lake,Colorado,08065,CO,CO | LAKE
279,La Plata,Colorado,08067,CO,CO | LA PLATA
280,Larimer,Colorado,08069,CO,CO | LARIMER
281,Las Animas,Colorado,08071,CO,CO | LAS ANIMAS
282,Lincoln,Colorado,08073,CO,CO | LINCOLN
283,Logan,Colorado,08075,CO,CO | LOGAN
284,Mesa,Colorado,08077,CO,CO | MESA
285,Mineral,Colorado,08079,CO,CO | MINERAL
286,Moffat,Colorado,08081,CO,CO | MOFFAT
287,Montezuma,Colorado,08083,CO,CO | MONTEZUMA
