,state,state_po,district,party_simplified,votes,county_fips,jurisdiction_fips,year,special,writein,state_fips,state_cen,state_ic,readme_check,magnitude,totalVotes,votePercentage
67,CALIFORNIA,CA,15,DEMOCRAT,242991,4334402.0,4334402.0,1458440,0,0,4332,67146,51262,722,722,342701,0.7090466616671676
68,CALIFORNIA,CA,15,REPUBLICAN,99710,4334402.0,4334402.0,1458440,0,0,4332,67146,51262,722,722,342701,0.29095333833283243
69,CALIFORNIA,CA,16,DEMOCRAT,128690,3753722.0,3753722.0,1256440,0,0,3732,57846,44162,622,622,216729,0.5937830193467418
70,CALIFORNIA,CA,16,REPUBLICAN,88039,3753722.0,3753722.0,1256440,0,0,3732,57846,44162,622,622,216729,0.40621698065325823
71,CALIFORNIA,CA,17,DEMOCRAT,212137,2268902.0,2268902.0,755480,0,0,2244,34782,26554,374,374,297336,0.7134588479027094
72,CALIFORNIA,CA,17,REPUBLICAN,85199,2268902.0,2268902.0,755480,0,0,2244,34782,26554,374,374,297336,0.2865411520972906
73,CALIFORNIA,CA,18,DEMOCRAT,344139,9101736.0,9101736.0,3021920,0,0,8976,139128,106216,1496,1496,344139,1.0
74,CALIFORNIA,CA,19,DEMOCRAT,224385,2859950.0,2859950.0,949400,0,0,2820,43710,33370,470,470,313027,0.7168231494407831
75,CALIFORNIA,CA,19,REPUBLICAN,88642,2859950.0,2859950.0,949400,0,0,2820,43710,33370,470,470,313027,0.28317685055921693
76,CALIFORNIA,CA,20,DEMOCRAT,236896,4453086.0,4453086.0,1482680,0,0,4404,68262,52114,734,734,308554,0.7677618828470867
77,CALIFORNIA,CA,20,REPUBLICAN,71658,4453086.0,4453086.0,1482680,0,0,4404,68262,52114,734,734,308554,0.23223811715291326
78,CALIFORNIA,CA,21,DEMOCRAT,84406,5923446.0,5923446.0,1983640,0,0,5892,91326,69722,982,982,170334,0.4955323071142579
79,CALIFORNIA,CA,21,REPUBLICAN,85928,5923446.0,5923446.0,1983640,0,0,5892,91326,69722,982,982,170334,0.5044676928857421
80,CALIFORNIA,CA,22,DEMOCRAT,144251,3141602.0,3141602.0,1046360,0,0,3108,48174,36778,518,518,315139,0.457737696698917
81,CALIFORNIA,CA,22,REPUBLICAN,170888,3141602.0,3141602.0,1046360,0,0,3108,48174,36778,518,518,315139,0.542262303301083
82,CALIFORNIA,CA,23,DEMOCRAT,115896,7432286.0,7432286.0,2484600,0,0,7380,114390,87330,1230,1230,306118,0.37859910230695354
83,CALIFORNIA,CA,23,REPUBLICAN,190222,7432286.0,7432286.0,2484600,0,0,7380,114390,87330,1230,1230,306118,0.6214008976930465
84,CALIFORNIA,CA,24,DEMOCRAT,212564,4416762.0,4416762.0,1466520,0,0,4356,67518,51546,726,726,362345,0.5866342850046227
